,Party,Donee,value
2403,Mr Andy McDonald MP,Regulated Donee,12226.0
2404,Mr Mark Drakeford,Regulated Donee,2125.0
2405,Green Party,Political Party,600.0
2406,Mr Robert Halfon MP,Regulated Donee,16285.0
2407,Andrea Jenkyns MP,Regulated Donee,2036.87
2408,Dr Thérèse Coffey MP,Regulated Donee,12266.0
2409,Máirtín Ó Muilleoir,Regulated Donee,4018.48
2410,Mr Christopher Green,Regulated Donee,12266.0
2411,Shaun Bailey,Regulated Donee,2000.0
2412,David Morris MP,Regulated Donee,1769.29
2413,Mr Vaughan Gething,Regulated Donee,5000.0
2414,Liberal Democrats,Political Party,10000.0
2415,Mr Vaughan Gething,Regulated Donee,8000.0
2416,Mr Vaughan Gething,Regulated Donee,5000.0
2417,Mr Jeremy Lefroy MP,Regulated Donee,2600.0
2418,Conservative and Unionist Party,Political Party,2000.0
2419,Shaun Bailey,Regulated Donee,5000.0
2420,Conservative and Unionist Party,Political Party,15000.0
2421,Conservative and Unionist Party,Political Party,8000.0
2422,Conservative and Unionist Party,Political Party,8000.0
2423,Conservative and Unionist Party,Political Party,333333.0
2424,Conservative and Unionist Party,Political Party,10000.0
2425,Conservative and Unionist Party,Political Party,2207.0
2426,Conservative and Unionist Party,Political Party,1974.0
2427,Conservative and Unionist Party,Political Party,25000.0
2428,Conservative and Unionist Party,Political Party,1947.0
2429,Conservative and Unionist Party,Political Party,84000.0
2430,Conservative and Unionist Party,Political Party,1000.0
2431,The Rt Hon Mike Penning MP,Regulated Donee,35000.0
2432,Conservative and Unionist Party,Political Party,50000.0
2433,Mr John Woodcock MP,Regulated Donee,5501.09
2434,Conservative and Unionist Party,Political Party,1830.0
2435,Conservative and Unionist Party,Political Party,5000.0
2436,The Rt Hon Hugo Swire MP,Regulated Donee,1817.0
2437,Conservative and Unionist Party,Political Party,3500.0
2438,Dan Jarvis MP,Regulated Donee,12500.0
2439,Dr Lisa Cameron MP,Regulated Donee,2259.75
2440,People Before Profit Alliance,Political Party,1000.0
2441,Mr Tim Loughton MP,Regulated Donee,1817.0
2442,Rosena Allin-Khan,Regulated Donee,1865.0
2443,Mr Adam Price MP,Regulated Donee,3000.0
2444,Women's Equality Party,Political Party,53400.0
2445,Labour Party,Political Party,16440.96
2446,Labour Party,Political Party,4750.0
2447,Conservative and Unionist Party,Political Party,2500.0
2448,Green Party,Political Party,1800.0
2449,Labour Party,Political Party,4200.0
2450,UK Independence Party (UKIP),Political Party,1000.0
2451,Mr Boris Johnson MP,Regulated Donee,50000.0
2452,Labour Party,Political Party,7963.26
2453,Labour Party,Political Party,3180.51
2454,Conservative and Unionist Party,Political Party,2149.0
2455,Women's Equality Party,Political Party,120216.48
2456,Conservative Christian Fellowship,Regulated Donee,40000.0
2457,Labour Party,Political Party,1625.0
2458,Duma Polska = Polish Pride,Political Party,4000.0
2459,Labour Party,Political Party,9718.0
2460,Labour Party,Political Party,48727.01
2461,Conservative and Unionist Party,Political Party,2000.0
2462,Alliance - Alliance Party of Northern Ireland,Political Party,7500.0
2463,Liberal Democrats,Political Party,3500.0
2464,Liberal Democrats,Political Party,2000.0
2465,Liberal Democrats,Political Party,3000.0
2466,Liberal Democrats,Political Party,2000.0
2467,Liberal Democrats,Political Party,10000.0
2468,Liberal Democrats,Political Party,2810.0
2469,Liberal Democrats,Political Party,2100.0
2470,Liberal Democrats,Political Party,2000.0
2471,Liberal Democrats,Political Party,2500.0
2472,Liberal Democrats,Political Party,2160.0
2473,Liberal Democrats,Political Party,748.63
2474,Liberal Democrats,Political Party,12500.0
2475,Liberal Democrats,Political Party,576.0
2476,Liberal Democrats,Political Party,2250.0
2477,Liberal Democrats,Political Party,5000.0
2478,Liberal Democrats,Political Party,6030.0
2479,Liberal Democrats,Political Party,10000.0
2480,Liberal Democrats,Political Party,2000.0
2481,Liberal Democrats,Political Party,1711.04
2482,Liberal Democrats,Political Party,25000.0
2483,Liberal Democrats,Political Party,25000.0
2484,Liberal Democrats,Political Party,10000.0
2485,Liberal Democrats,Political Party,1950.0
2486,Democratic Unionist Party - D.U.P.,Political Party,10614.16
2487,Liberal Democrats,Political Party,25000.0
2488,Liberal Democrats,Political Party,4500.0
2489,Mark Garnier MP,Regulated Donee,5000.0
2490,Liberal Democrats,Political Party,1890.0
2491,Liberal Democrats,Political Party,5000.0
2492,Liberal Democrats,Political Party,13400.0
2493,Labour Party,Political Party,1961.43
2494,Liberal Democrats,Political Party,1800.0
2495,Liberal Democrats,Political Party,10000.0
2496,Liberal Democrats,Political Party,2547.94
2497,Liberal Democrats,Political Party,3166.18
2498,Liberal Democrats,Political Party,2550.0
2499,Liberal Democrats,Political Party,10000.0
2500,Labour Party,Political Party,1627.62
2501,Liberal Democrats,Political Party,13248.62
2502,Liberal Democrats,Political Party,2427.0
2503,Liberal Democrats,Political Party,14000.0
2504,Liberal Democrats,Political Party,2500.0
2505,Both Unions Party of Northern Ireland,Political Party,16810.0
2506,Liberal Democrats,Political Party,1965.0
2507,Liberal Democrats,Political Party,12500.0
2508,Liberal Democrats,Political Party,1875.0
2509,Liberal Democrats,Political Party,2500.0
2510,Liberal Democrats,Political Party,2184.0
2511,Liberal Democrats,Political Party,62500.0
2512,Liberal Democrats,Political Party,2250.0
2513,Liberal Democrats,Political Party,25000.0
2514,Democratic Unionist Party - D.U.P.,Political Party,1268.72
2515,Conservative and Unionist Party,Political Party,50000.0
2516,Conservative and Unionist Party,Political Party,250000.0
2517,Labour Party,Political Party,1982.67
2518,Conservative and Unionist Party,Political Party,3551.0
2519,Stephen Morgan,Regulated Donee,4000.0
2520,Conservative and Unionist Party,Political Party,5000.0
2521,Kate Hollern MP,Regulated Donee,4000.0
2522,Conservative and Unionist Party,Political Party,3372.3
2523,Mr Philip Hollobone MP,Regulated Donee,4000.0
2524,Plaid Cymru - The Party of Wales,Political Party,8309.27
2525,Mr Vaughan Gething,Regulated Donee,10000.0
2526,Labour Party,Political Party,1883.15
2527,Ulster Unionist Party,Political Party,1568.89
2528,Democratic Unionist Party - D.U.P.,Political Party,19025.82
2529,Labour Party,Political Party,36291.66
2530,Mr Christopher Ruane MP,Regulated Donee,1700.0
2531,Liberal Democrats,Political Party,75000.0
2532,Liberal Democrats,Political Party,52558.88
2533,Green Party,Political Party,9203.5
2534,Mr Andy Street,Regulated Donee,4711.0
2535,Ulster Unionist Party,Political Party,6176.61
2536,Scottish National Party (SNP),Political Party,65925.75
2537,Labour Party,Political Party,14555.45
2538,Labour Party,Political Party,643904.02
2539,Conservative and Unionist Party,Political Party,1045.3
2540,Labour Party,Political Party,1900.0
2541,Conservative and Unionist Party,Political Party,1320.0
2542,Mr Fabian Hamilton MP,Regulated Donee,3142.68
2543,Liberal Democrats,Political Party,2490.92
2544,Sinn Féin,Political Party,13821.98
2545,Conservative Group for Europe,Regulated Donee,15000.0
2546,Green Party,Political Party,3885.04
2547,Conservative and Unionist Party,Political Party,2300.0
2548,Conservative and Unionist Party,Political Party,1045.3
2549,Sinn Féin,Political Party,1263.0
2550,Sinn Féin,Political Party,10381.88
2551,Sinn Féin,Political Party,779.0
2552,Sinn Féin,Political Party,779.0
2553,Sinn Féin,Political Party,661.0
2554,Ben Bradley,Regulated Donee,26000.0
2555,Alliance - Alliance Party of Northern Ireland,Political Party,1543.15
2556,Labour Party,Political Party,11362.5
2557,Sinn Féin,Political Party,905.0
2558,Sinn Féin,Political Party,2412.12
2559,Sinn Féin,Political Party,779.0
2560,Alliance - Alliance Party of Northern Ireland,Political Party,5272.97
2561,SDLP (Social Democratic & Labour Party),Political Party,7757.89
2562,Sinn Féin,Political Party,779.0
2563,Sinn Féin,Political Party,791.0
2564,Sinn Féin,Political Party,779.0
2565,Sinn Féin,Political Party,880.0
2566,Traditional Unionist Voice - TUV,Political Party,2277.02
2567,Labour Party,Political Party,1500.03
2568,Sinn Féin,Political Party,779.0
2569,Sinn Féin,Political Party,1071.0
2570,Sinn Féin,Political Party,779.0
2571,Liberal Democrats,Political Party,5400.0
2572,Sinn Féin,Political Party,788.0
2573,Renew,Political Party,20000.0
2574,Sinn Féin,Political Party,779.0
2575,Conservative and Unionist Party,Political Party,21948.24
2576,Conservative and Unionist Party,Political Party,8000.0
2577,Conservative and Unionist Party,Political Party,8000.0
2578,Conservative and Unionist Party,Political Party,4853.74
2579,Conservative and Unionist Party,Political Party,8720.22
2580,Conservative and Unionist Party,Political Party,1872.0
2581,Conservative and Unionist Party,Political Party,12500.0
2582,Conservative and Unionist Party,Political Party,2781.0
2583,Conservative and Unionist Party,Political Party,2000.0
2584,Conservative and Unionist Party,Political Party,9000.0
2585,Conservative and Unionist Party,Political Party,4250.0
2586,Conservative and Unionist Party,Political Party,2953.14
2587,Conservative and Unionist Party,Political Party,11000.0
2588,Conservative and Unionist Party,Political Party,2133.6
2589,Mr Andrew Mitchell MP,Regulated Donee,11179.18
2590,Labour Party,Political Party,2000.0
2591,Mr Michael Tomlinson,Regulated Donee,7000.0
2592,Conservative and Unionist Party,Political Party,30000.0
2593,Labour Party,Political Party,8100.0
2594,The Rt Hon John Bercow MP,Regulated Donee,6100.0
2595,Conservative and Unionist Party,Political Party,8000.0
2596,Conservative and Unionist Party,Political Party,50000.0
2597,Conservative and Unionist Party,Political Party,20000.0
2598,Mr Gary Nicholas Streeter MP,Regulated Donee,7150.0
2599,Labour Party,Political Party,299083.83
2600,Conservative and Unionist Party,Political Party,8000.0
2601,Conservative and Unionist Party,Political Party,12500.0
2602,Conservative and Unionist Party,Political Party,8000.0
2603,Conservative and Unionist Party,Political Party,65000.0
2604,Conservative and Unionist Party,Political Party,8000.0
2605,Conservative and Unionist Party,Political Party,120000.0
2606,Conservative and Unionist Party,Political Party,50000.0
2607,Preet Kaur Gill,Regulated Donee,2682.55
2608,Mr Crispin Jeremy Rupert Blunt MP,Regulated Donee,1893.0
2609,Liberal Democrats,Political Party,4500.0
2610,Green Party,Political Party,1675.0
2611,Liberal Democrats,Political Party,20052.0
2612,Labour Party,Political Party,2669.23
2613,Labour Party,Political Party,3000.0
2614,Liberal Democrats,Political Party,2000.0
2615,Liberal Democrats,Political Party,27587.4
2616,Liberal Democrats,Political Party,5000.0
2617,David Morris MP,Regulated Donee,8966.68
2618,Mr Ben Houchen,Regulated Donee,5000.0
2619,Conservative and Unionist Party,Political Party,7500.0
2620,Labour Party,Political Party,1741.4
2621,Mr Boris Johnson MP,Regulated Donee,14000.0
2622,Liberal Democrats,Political Party,2000.0
2623,Labour Party,Political Party,2000.0
2624,Liberal Democrats,Political Party,2142.55
2625,Conservative and Unionist Party,Political Party,5550.0
2626,Mr Bob Blackman MP,Regulated Donee,3913.98
2627,Mr Crispin Jeremy Rupert Blunt MP,Regulated Donee,3730.0
2628,Conservative and Unionist Party,Political Party,8000.0
2629,Mr Imran Hussain MP,Regulated Donee,2567.24
2630,Brendan O'Hara,Regulated Donee,1570.0
2631,Labour Party,Political Party,1741.4
2632,Catherine West MP,Regulated Donee,1725.0
2633,Chris Leslie MP,Regulated Donee,2907.87
2634,Shaun Bailey,Regulated Donee,10000.0
2635,Mr Faisal Rashid,Regulated Donee,2422.17
2636,Mr Richard Burden MP,Regulated Donee,1660.0
2637,Mr Robert Halfon MP,Regulated Donee,3150.0
2638,The Rt Hon Owen Paterson MP,Regulated Donee,8254.0
2639,The Rt Hon Philippa Whitford,Regulated Donee,1767.08
2640,Mrs Jessica Morden MP,Regulated Donee,2420.95
2641,Labour Party,Political Party,4500.0
2642,Labour Party,Political Party,21115.0
2643,Liberal Democrats,Political Party,2000.0
2644,Simon Clarke,Regulated Donee,5000.0
2645,Preet Kaur Gill,Regulated Donee,2404.9
2646,The Rt Hon Greg Hands MP,Regulated Donee,2392.64
2647,Mr Brandon Lewis MP,Regulated Donee,4500.0
2648,Labour Party,Political Party,2500.0
2649,Labour Party,Political Party,7737.5
2650,Liberal Democrats,Political Party,28806.41
2651,Labour Women's Network,Regulated Donee,9440.0
2652,Dr Phillip Lee MP,Regulated Donee,1725.0
2653,Mr Boris Johnson MP,Regulated Donee,16846.09
2654,The Rt Hon John Healey MP,Regulated Donee,1680.0
2655,Conservative and Unionist Party,Political Party,84000.0
2656,Liberal Democrats,Political Party,5500.0
2657,Paula Sherriff MP,Regulated Donee,2022.0
2658,Mr John Mann MP,Regulated Donee,1918.0
2659,Liberal Democrats,Political Party,17838.81
2660,Caroline Ansell MP,Regulated Donee,25000.0
2661,Dr Lisa Cameron MP,Regulated Donee,1918.0
2662,Liberal Democrats,Political Party,1600.0
2663,Mr Andrew Percy MP,Regulated Donee,1549.0
2664,Mr Guto Bebb MP,Regulated Donee,1918.0
2665,Mr Darren Jones,Regulated Donee,6000.0
2666,Conservative and Unionist Party,Political Party,8500.0
2667,Scottish National Party (SNP),Political Party,65924.07
2668,Conservative and Unionist Party,Political Party,50000.0
2669,Ms Gloria De Piero MP,Regulated Donee,1250.0
2670,Conservative and Unionist Party,Political Party,8000.0
2671,Conservative and Unionist Party,Political Party,15000.0
2672,Labour Party,Political Party,14162.5
2673,Conservative and Unionist Party,Political Party,5000.0
2674,Conservative and Unionist Party,Political Party,6250.0
2675,Conservative and Unionist Party,Political Party,7560.0
2676,Mr Clive Lewis MP,Regulated Donee,2685.0
2677,Labour Party,Political Party,2000.0
2678,Labour Party,Political Party,3000.0
2679,Conservative and Unionist Party,Political Party,10000.0
2680,Conservative and Unionist Party,Political Party,5125.0
2681,Liberal Democrats,Political Party,2810.0
2682,Conservative and Unionist Party,Political Party,12498.0
2683,Ms Wera Hobhouse,Regulated Donee,9000.0
2684,Conservative and Unionist Party,Political Party,10000.0
2685,Conservative and Unionist Party,Political Party,8000.0
2686,Liberal Democrats,Political Party,2079.0
2687,Liberal Democrats,Political Party,3500.0
2688,Mr Vaughan Gething,Regulated Donee,1200.0
2689,Mr Darren Millar,Regulated Donee,1754.29
2690,Mr Vaughan Gething,Regulated Donee,10000.0
2691,Marcus Fysh,Regulated Donee,2574.0
2692,Conservative and Unionist Party,Political Party,2150.0
2693,Conservative and Unionist Party,Political Party,1875.0
2694,Conservative and Unionist Party,Political Party,5000.0
2695,Mr Andrew Rosindell MP,Regulated Donee,1578.3
2696,Conservative and Unionist Party,Political Party,2000.0
2697,Conservative and Unionist Party,Political Party,8000.0
2698,Conservative and Unionist Party,Political Party,8000.0
2699,Conservative and Unionist Party,Political Party,12499.34
2700,Conservative and Unionist Party,Political Party,2000.0
2701,Conservative and Unionist Party,Political Party,8000.0
2702,Conservative and Unionist Party,Political Party,8000.0
2703,Conservative and Unionist Party,Political Party,2000.0
2704,Liberal Democrats,Political Party,5700.0
2705,Conservative and Unionist Party,Political Party,3000.0
2706,Conservative and Unionist Party,Political Party,10000.0
2707,Conservative and Unionist Party,Political Party,2790.0
2708,Ms Joy Morrissey,Regulated Donee,5000.0
2709,Conservative and Unionist Party,Political Party,2500.0
2710,Shaun Bailey,Regulated Donee,2500.0
2711,Johnny Mercer MP,Regulated Donee,1830.4
2712,Johnny Mercer MP,Regulated Donee,1830.4
2713,Mr Stephen Hepburn MP,Regulated Donee,1585.3
2714,Duma Polska = Polish Pride,Political Party,4500.0
2715,David Morris MP,Regulated Donee,2186.6
2716,Shaun Bailey,Regulated Donee,4000.0
2717,Tom Watson MP,Regulated Donee,15000.0
2718,Mr Robert Neill MP,Regulated Donee,1724.6
2719,Liberal Democrats,Political Party,12500.0
2720,Co-operative Party,Political Party,5000.0
2721,Conservative and Unionist Party,Political Party,5500.0
2722,Duma Polska = Polish Pride,Political Party,4000.0
2723,Progress Ltd,Regulated Donee,1250.0
2724,Liberal Democrats,Political Party,12500.0
2725,Mr Andy McDonald MP,Regulated Donee,9086.5
2726,People Before Profit Alliance,Political Party,1000.0
2727,Mr Andrew Bowie,Regulated Donee,2000.0
2728,Mr Andy McDonald MP,Regulated Donee,30000.0
2729,Labour Party,Political Party,6600.0
2730,Labour Party,Political Party,4800.0
2731,Andrea Jenkyns MP,Regulated Donee,3138.17
2732,Labour Party,Political Party,3000.0
2733,Green Party,Political Party,1800.0
2734,Green Party,Political Party,600.0
2735,Labour Party,Political Party,6000.0
2736,Labour Party,Political Party,1716.0
2737,Mr Mark Pritchard MP,Regulated Donee,2000.0
2738,UK Independence Party (UKIP),Political Party,1000.0
2739,Liberal Democrats,Political Party,8283.33
2740,Ms Mary Glindon,Regulated Donee,5120.0
2741,Ms Mary Glindon,Regulated Donee,5120.0
2742,Liberal Democrats,Political Party,2000.0
2743,Ian Mearns MP,Regulated Donee,16671.0
2744,Ms Mary Glindon,Regulated Donee,5120.0
2745,Democratic Unionist Party - D.U.P.,Political Party,1268.72
2746,Plaid Cymru - The Party of Wales,Political Party,8309.27
2747,Liberal Democrats,Political Party,2000.0
2748,Liberal Democrats,Political Party,4500.0
2749,Democratic Unionist Party - D.U.P.,Political Party,10881.99
2750,Shaun Bailey,Regulated Donee,15000.0
2751,UK Independence Party (UKIP),Political Party,25000.0
2752,Liberal Democrats,Political Party,2180.0
2753,Liberal Democrats,Political Party,3166.18
2754,Liberal Democrats,Political Party,5000.0
2755,Sinn Féin,Political Party,788.0
2756,Renew,Political Party,3000.0
2757,Sinn Féin,Political Party,779.0
2758,Sinn Féin,Political Party,779.0
2759,Sinn Féin,Political Party,779.0
2760,Sinn Féin,Political Party,779.0
2761,Renew,Political Party,12000.0
2762,Sinn Féin,Political Party,700.0
2763,Sinn Féin,Political Party,561.0
2764,Labour Party,Political Party,1982.67
2765,Sinn Féin,Political Party,779.0
2766,Sinn Féin,Political Party,4824.24
2767,Sinn Féin,Political Party,779.0
2768,Sinn Féin,Political Party,880.0
2769,Sinn Féin,Political Party,705.0
2770,Sinn Féin,Political Party,779.0
2771,Sinn Féin,Political Party,779.0
2772,Alliance - Alliance Party of Northern Ireland,Political Party,1543.15
2773,SDLP (Social Democratic & Labour Party),Political Party,7923.15
2774,Liberal Democrats,Political Party,16000.0
2775,Labour Party,Political Party,1961.43
2776,Sinn Féin,Political Party,791.0
2777,Sinn Féin,Political Party,779.0
2778,Traditional Unionist Voice - TUV,Political Party,2277.02
2779,Alliance - Alliance Party of Northern Ireland,Political Party,5272.97
2780,Sinn Féin,Political Party,1071.0
2781,Sinn Féin,Political Party,10381.88
2782,Green Party,Political Party,3885.04
2783,Conservative and Unionist Party,Political Party,5000.0
2784,Ulster Unionist Party,Political Party,6176.61
2785,Labour Party,Political Party,2000.0
2786,Labour Party,Political Party,1800.0
2787,Ulster Unionist Party,Political Party,1568.89
2788,Plaid Cymru - The Party of Wales,Political Party,190000.0
2789,Mr Mark Pritchard MP,Regulated Donee,2000.0
2790,Liberal Democrats,Political Party,5000.0
2791,Liberal Democrats,Political Party,5000.0
2792,Simon Clarke,Regulated Donee,3000.0
2793,Sarah Champion MP,Regulated Donee,2958.0
2794,Liberal Democrats,Political Party,10000.0
2795,Mr James Gray MP,Regulated Donee,2707.0
2796,Conservative and Unionist Party,Political Party,8000.0
2797,Mr John Mann MP,Regulated Donee,2707.0
2798,Conservative and Unionist Party,Political Party,50000.0
2799,Conservative and Unionist Party,Political Party,1750.0
2800,Democratic Unionist Party - D.U.P.,Political Party,2337.85
2801,The Rt Hon Theresa Villiers MP,Regulated Donee,2707.0
2802,Brendan O'Hara,Regulated Donee,2707.0
2803,Conservative and Unionist Party,Political Party,5000.0
2804,Labour Party,Political Party,643904.02
2805,Mr Stephen Hepburn MP,Regulated Donee,2707.0
2806,Liberal Democrats,Political Party,52558.88
2807,Liberal Democrats,Political Party,4000.0
2808,Sinn Féin,Political Party,13821.98
2809,Liberal Democrats,Political Party,7725.0
2810,Liberal Democrats,Political Party,5000.0
2811,Liberal Democrats,Political Party,10000.0
2812,Liberal Democrats,Political Party,3600.0
2813,Labour Tribune MPs Group,Regulated Donee,10000.0
2814,Mr Chris Bryant MP,Regulated Donee,4678.0
2815,Mr Roger Godsiff MP,Regulated Donee,8275.66
2816,Mr Patrick Grady,Regulated Donee,4678.0
2817,Sir David Amess MP,Regulated Donee,5275.66
2818,Labour Party,Political Party,2669.23
2819,Conservative and Unionist Party,Political Party,18750.0
2820,Conservative and Unionist Party,Political Party,50000.0
2821,Conservative and Unionist Party,Political Party,50000.0
2822,Conservative and Unionist Party,Political Party,10000.0
2823,Conservative and Unionist Party,Political Party,5000.0
2824,Mr Barry Sheerman MP,Regulated Donee,1929.0
2825,Conservative and Unionist Party,Political Party,6600.0
2826,Conservative and Unionist Party,Political Party,8000.0
2827,Conservative and Unionist Party,Political Party,1650.0
2828,Conservative and Unionist Party,Political Party,6600.0
2829,Conservative and Unionist Party,Political Party,8000.0
2830,Conservative and Unionist Party,Political Party,2000.0
2831,Conservative and Unionist Party,Political Party,8000.0
2832,Conservative and Unionist Party,Political Party,7600.0
2833,Conservative and Unionist Party,Political Party,8000.0
2834,Liberal Democrats,Political Party,10000.0
2835,Liberal Democrats,Political Party,2000.0
2836,Steve Reed MP,Regulated Donee,1800.0
2837,Mr Tony Lloyd MP,Regulated Donee,3100.0
2838,Women's Equality Party,Political Party,5000.0
2839,Ms Rushanara Ali MP,Regulated Donee,1844.42
2840,Hatch Connect UK Ltd,Regulated Donee,10000.0
2841,Sinn Féin,Political Party,8000.0
2842,Naz Shah MP,Regulated Donee,1821.0
2843,Liberal Democrats,Political Party,3000.0
2844,Labour Party,Political Party,4500.0
2845,Jo Stevens MP,Regulated Donee,3800.0
2846,Labour Party,Political Party,3000.0
2847,Labour Party,Political Party,1591.0
2848,Labour for a Public-Vote,Regulated Donee,12500.0
2849,Green Party,Political Party,9203.5
2850,Conservative and Unionist Party,Political Party,25000.0
2851,Conservative and Unionist Party,Political Party,50000.0
2852,Conservative and Unionist Party,Political Party,21948.24
2853,Labour Party,Political Party,10000.0
2854,Conservative and Unionist Party,Political Party,1150.0
2855,Conservative and Unionist Party,Political Party,8000.0
2856,Liberal Democrats,Political Party,2000.0
2857,Conservative and Unionist Party,Political Party,8000.0
2858,Conservative and Unionist Party,Political Party,10000.0
2859,Conservative and Unionist Party,Political Party,5000.0
2860,Mr Andrew Griffiths MP,Regulated Donee,10000.0
2861,Mr Murdo Fraser MSP,Regulated Donee,2200.0
2862,Mr Bill Bowman,Regulated Donee,2200.0
2863,Mr Jackson Carlaw,Regulated Donee,2200.0
2864,Mr Richard Lyle MSP,Regulated Donee,2200.0
2865,Liberal Democrats,Political Party,1000.0
2866,Mary Fee MSP,Regulated Donee,2200.0
2867,Mr Maurice Corry,Regulated Donee,2200.0
2868,Mr Andrew Rosindell MP,Regulated Donee,2670.0
2869,Conservative and Unionist Party,Political Party,8000.0
2870,Labour Party,Political Party,1855.0
2871,Liberal Democrats,Political Party,2810.0
2872,Conservative and Unionist Party,Political Party,10000.0
2873,Labour Party,Political Party,1702.5
2874,Conservative and Unionist Party,Political Party,10000.0
2875,Mr Andy Street,Regulated Donee,27041.28
2876,Conservative and Unionist Party,Political Party,100000.0
2877,Conservative and Unionist Party,Political Party,20000.0
2878,Conservative and Unionist Party,Political Party,20000.0
2879,Conservative and Unionist Party,Political Party,64000.0
2880,Conservative and Unionist Party,Political Party,4200.0
2881,Conservative and Unionist Party,Political Party,1100.0
2882,Conservative and Unionist Party,Political Party,19946.0
2883,Conservative and Unionist Party,Political Party,3000.0
2884,Conservative and Unionist Party,Political Party,660.0
2885,Conservative and Unionist Party,Political Party,1200.0
2886,Conservative and Unionist Party,Political Party,5000.0
2887,Conservative and Unionist Party,Political Party,3000.0
2888,Conservative and Unionist Party,Political Party,50000.0
2889,Conservative and Unionist Party,Political Party,10000.0
2890,Conservative and Unionist Party,Political Party,5000.0
2891,Conservative and Unionist Party,Political Party,8400.0
2892,Conservative and Unionist Party,Political Party,18655.0
2893,Duma Polska = Polish Pride,Political Party,3500.0
2894,Labour Party,Political Party,7939.94
2895,Conservative and Unionist Party,Political Party,10000.0
2896,Duma Polska = Polish Pride,Political Party,1400.0
2897,UK Independence Party (UKIP),Political Party,1000.0
2898,Angela Eagle MP,Regulated Donee,5000.0
2899,Suella Braverman,Regulated Donee,4404.21
2900,Mr Andrew Mitchell MP,Regulated Donee,2254.3
2901,Mr Ross Thomson,Regulated Donee,12208.49
2902,Ranil Jayawardena MP,Regulated Donee,12209.49
2903,Liberal Democrats,Political Party,50290.0
2904,Mr Christopher Green,Regulated Donee,12200.82
2905,Liberal Democrats,Political Party,10000.0
2906,Liberal Democrats,Political Party,2000.0
2907,Liberal Democrats,Political Party,20000.0
2908,People Before Profit Alliance,Political Party,1000.0
2909,Duma Polska = Polish Pride,Political Party,2500.0
2910,Bob Stewart MP,Regulated Donee,5636.32
2911,Liberal Democrats,Political Party,3736.0
2912,Henry Smith MP,Regulated Donee,4960.26
2913,Mr Andrew Rosindell MP,Regulated Donee,7875.26
2914,Mr Darren Jones,Regulated Donee,1992.65
2915,Mr Martin Vickers MP,Regulated Donee,5636.32
2916,Liberal Democrats,Political Party,11250.0
2917,Liberal Democrats,Political Party,2000.0
2918,Mr Richard Harrington MP,Regulated Donee,10000.0
2919,Mr Richard Harrington MP,Regulated Donee,10000.0
2920,Kate Green MP,Regulated Donee,3830.0
2921,Green Party,Political Party,1800.0
2922,Progress Ltd,Regulated Donee,10000.0
2923,Liberal Democrats,Political Party,2200.0
2924,Green Party,Political Party,600.0
2925,Liberal Democrats,Political Party,23999.0
2926,Liberal Democrats,Political Party,2000.0
2927,Liberal Democrats,Political Party,1675.0
2928,Mr Dean Lockhart,Regulated Donee,2000.0
2929,Liberal Democrats,Political Party,2000.0
2930,Liberal Democrats,Political Party,1650.0
2931,Democratic Unionist Party - D.U.P.,Political Party,1268.72
2932,Labour Party,Political Party,2684.79
2933,Liberal Democrats,Political Party,1462.98
2934,Conservative and Unionist Party,Political Party,11792.96
2935,Liberal Democrats,Political Party,2175.0
2936,Liberal Democrats,Political Party,5061.0
2937,Democratic Unionist Party - D.U.P.,Political Party,10881.99
2938,Mr Andy Street,Regulated Donee,4711.0
2939,Mr Barry Gardiner MP,Regulated Donee,12529.0
2940,Labour Party,Political Party,5000.0
2941,Labour Party,Political Party,290125.0
2942,Conservative and Unionist Party,Political Party,12000.0
2943,Conservative and Unionist Party,Political Party,25000.0
2944,Conservative and Unionist Party,Political Party,50000.0
2945,Labour Party,Political Party,3030.24
2946,Labour Party,Political Party,2000.0
2947,Conservative and Unionist Party,Political Party,14000.0
2948,Conservative and Unionist Party,Political Party,17000.0
2949,Conservative and Unionist Party,Political Party,18850.0
2950,Conservative and Unionist Party,Political Party,4200.0
2951,Conservative and Unionist Party,Political Party,1543.0
2952,Conservative and Unionist Party,Political Party,50000.0
2953,Conservative and Unionist Party,Political Party,11500.0
2954,Labour Party,Political Party,2000.0
2955,Labour Party,Political Party,7500.0
2956,Conservative and Unionist Party,Political Party,9000.0
2957,Conservative and Unionist Party,Political Party,4200.0
2958,Conservative and Unionist Party,Political Party,50000.0
2959,Mr Clive Lewis MP,Regulated Donee,7500.0
2960,Labour Party,Political Party,36291.66
2961,Labour Party,Political Party,2000.0
2962,Conservative and Unionist Party,Political Party,2000.0
2963,Liberal Democrats,Political Party,3166.18
2964,Conservative and Unionist Party,Political Party,5000.0
2965,UK Independence Party (UKIP),Political Party,1000.0
2966,Labour Party,Political Party,2000.0
2967,Layla Moran,Regulated Donee,1948.13
2968,Gillian Keegan,Regulated Donee,1948.13
2969,Jess Phillips MP,Regulated Donee,1948.13
2970,Labour Party,Political Party,1982.67
2971,Mr Philip Hollobone MP,Regulated Donee,2767.74
2972,Mr Geoffrey Clifton-Brown MP,Regulated Donee,2767.74
2973,Leo Docherty,Regulated Donee,2767.74
2974,Conservative and Unionist Party,Political Party,2000.0
2975,Mr Stephen McCabe MP,Regulated Donee,2767.74
2976,Ms Rebecca Pow,Regulated Donee,2767.74
2977,Conservative and Unionist Party,Political Party,920.0
